,X,X1,tract,Asian18,Black18,White18,Other18,Asian13,Black13,White13,Other13,med_income2018,med_income2013,Hispanic13,Hispanic18,chasian,chblack,chwhite,chincome,chhisp,minor_pop_pct
1,1,1,1,0.066666667,0.1,0.677777778,0.155555556,0.036585366,0.036585366,0.817073171,0.109756098,106,99,0.012195122,0.055555556,3.008130081,6.341463415,-13.9295393,700,4.33604336,23.86
2,2,2,3,0.064516129,0.032258065,0.741935484,0.161290323,0.05,0.05,0.85,0.05,104,79,0,0,1.451612903,-1.774193548,-10.80645161,2500,0,31.7
3,3,3,4,0.055555556,0.018518519,0.87037037,0.037037037,0.125,0,0.708333333,0.166666667,116,102,0,0.055555556,-6.944444444,1.851851852,16.2037037,1400,5.555555556,27.66
4,4,4,5,0.031496063,0.070866142,0.732283465,0.165354331,0.064935065,0.025974026,0.818181818,0.090909091,86,76,0.051948052,0.039370079,-3.343900194,4.489211576,-8.589835361,1000,-1.257797321,34.79
5,5,5,6,0.027777778,0.027777778,0.833333333,0.111111111,0,0,1,0,88,88.5,0.071428571,0.055555556,2.777777778,2.777777778,-16.66666667,-50,-1.587301587,49.58
6,6,6,7,0.058823529,0.176470588,0.705882353,0.058823529,0,0,1,0,75,39.5,0.25,0,5.882352941,17.64705882,-29.41176471,3550,-25,59.92
7,7,7,8,0.043478261,0.108695652,0.673913043,0.152173913,0.095238095,0.19047619,0.666666667,0.047619048,106,53,0,0,-5.175983437,-8.17805383,0.724637681,5300,0,90.73
8,8,8,9,0.071428571,0.035714286,0.75,0.125,0,0,0.857142857,0.142857143,152.5,82,0,0.071428571,7.142857143,3.571428571,-10.71428571,7050,7.142857143,74.5
9,9,9,10,0.016666667,0,0.866666667,0.116666667,0.011627907,0.023255814,0.872093023,0.093023256,151,129.5,0.034883721,0,0.503875969,-2.325581395,-0.542635659,2150,-3.488372093,17.02
10,10,10,11,0.053763441,0.032258065,0.752688172,0.161290323,0,0,0.875,0.125,128,96,0.017857143,0.032258065,5.376344086,3.225806452,-12.2311828,3200,1.440092166,14.27
11,11,11,12,0.043478261,0.02173913,0.739130435,0.184782609,0,0.013888889,0.875,0.111111111,124.5,98.5,0.027777778,0.02173913,4.347826087,0.785024155,-13.58695652,2600,-0.603864734,52.09
12,12,12,13,0,0.047619048,0.821428571,0.130952381,0.055555556,0,0.888888889,0.027777778,105,60,0,0.05952381,-5.555555556,4.761904762,-6.746031746,4500,5.952380952,58.7
13,13,13,14,0.011235955,0.02247191,0.842696629,0.123595506,0.014925373,0.074626866,0.850746269,0.059701493,107,81,0.014925373,0.056179775,-0.368941808,-5.215495556,-0.804963944,2600,4.125440215,40.75
14,14,14,15.04,0.078125,0.328125,0.484375,0.09375,0.153846154,0.384615385,0.307692308,0.153846154,52,36,0.307692308,0.15625,-7.572115385,-5.649038462,17.66826923,1600,-15.14423077,91.3
15,15,15,15.05,0,0.142857143,0.714285714,0.085714286,0.076923077,0.384615385,0.538461538,0,53,43,0.076923077,0.142857143,-7.692307692,-24.17582418,17.58241758,1000,6.593406593,66.6
16,16,16,15.07,0.133333333,0.066666667,0.733333333,0.066666667,0,0.4,0.6,0,32,60,0.4,0.6,13.33333333,-33.33333333,13.33333333,-2800,20,95.4
17,17,17,15.08,0.081081081,0.256756757,0.513513514,0.148648649,0.054054054,0.216216216,0.621621622,0.108108108,56.5,42,0.297297297,0.162162162,2.702702703,4.054054054,-10.81081081,1450,-13.51351351,72.68
18,18,18,15.09,0.217391304,0.304347826,0.347826087,0.130434783,0,0.75,0.25,0,43,30,0.25,0.217391304,21.73913043,-44.56521739,9.782608696,1300,-3.260869565,95.6
19,19,19,15.1,0.166666667,0.166666667,0.611111111,0.055555556,0,0.5,0.25,0,59,25,0.5,0.166666667,16.66666667,-33.33333333,36.11111111,3400,-33.33333333,90.42
20,20,20,16.03,0.023809524,0.047619048,0.857142857,0.071428571,0.125,0.125,0.75,0,57.5,35,0.125,0.142857143,-10.11904762,-7.738095238,10.71428571,2250,1.785714286,66.84
21,21,21,16.05,0,0,0.894736842,0.105263158,0,0,1,0,78,58,0,0.157894737,0,0,-10.52631579,2000,15.78947368,77.21
22,22,22,16.06,0.046511628,0.023255814,0.813953488,0.11627907,0.090909091,0,0.863636364,0.045454545,83,53,0.045454545,0.069767442,-4.4397463,2.325581395,-4.968287526,3000,2.431289641,72.24
23,23,23,16.07,0.090909091,0,0.636363636,0.272727273,0,0.25,0.75,0,52,28.5,0.25,0.181818182,9.090909091,-25,-11.36363636,2350,-6.818181818,77.68
24,24,24,16.08,0.083333333,0.125,0.708333333,0.083333333,0,0.142857143,0.714285714,0.142857143,56,26,0.428571429,0,8.333333333,-1.785714286,-0.595238095,3000,-42.85714286,81.97
25,25,25,16.09,0.194444444,0.111111111,0.555555556,0.138888889,0,0.142857143,0.857142857,0,47,39,0.428571429,0.138888889,19.44444444,-3.174603175,-30.15873016,800,-28.96825397,82.29
26,26,26,17.01,0.050847458,0.016949153,0.779661017,0.118644068,0.04,0.04,0.84,0.08,69,68,0,0.033898305,1.084745763,-2.305084746,-6.033898305,100,3.389830508,72.52
27,27,27,17.02,0,0.029411765,0.852941176,0.117647059,0,0,1,0,75,55.5,0,0.058823529,0,2.941176471,-14.70588235,1950,5.882352941,70.8
28,28,28,18.01,0,0.117647059,0.882352941,0,0.111111111,0,0.777777778,0.111111111,110,41,0,0,-11.11111111,11.76470588,10.45751634,6900,0,44.3
29,29,29,18.02,0.020408163,0.051020408,0.836734694,0.091836735,0,0.034482759,0.862068966,0.103448276,89,52,0.034482759,0.030612245,2.040816327,1.653764954,-2.533427164,3700,-0.387051372,43.34
30,30,30,19.1,0.692307692,0.038461538,0.230769231,0.038461538,0.4,0.266666667,0.266666667,0.066666667,42,30,0.2,0.153846154,29.23076923,-22.82051282,-3.58974359,1200,-4.615384615,86.62
31,31,31,19.11,0.361111111,0.097222222,0.472222222,0.041666667,0,0.125,0.791666667,0.041666667,42.5,32,0.375,0.291666667,36.11111111,-2.777777778,-31.94444444,1050,-8.333333333,67.43
32,32,32,19.12,0.086206897,0.310344828,0.465517241,0.120689655,0.1,0.35,0.55,0,38,36,0.25,0.379310345,-1.379310345,-3.965517241,-8.448275862,200,12.93103448,90.18
33,33,33,19.14,0.038461538,0,0.653846154,0.307692308,0.129032258,0.129032258,0.741935484,0,63,48,0.096774194,0.153846154,-9.05707196,-12.90322581,-8.808933002,1500,5.70719603,68.29
34,34,34,19.15,0.02173913,0.239130435,0.608695652,0.108695652,0,0.363636364,0.545454545,0.090909091,50,41,0,0.108695652,2.173913043,-12.45059289,6.324110672,900,10.86956522,74.29
35,35,35,19.16,0.12962963,0.314814815,0.444444444,0.111111111,0.038461538,0.269230769,0.615384615,0.038461538,49.5,37.5,0.153846154,0.092592593,9.116809117,4.558404558,-17.09401709,1200,-6.125356125,69.7
36,36,36,19.17,0.12244898,0.183673469,0.632653061,0.06122449,0.086956522,0.173913043,0.652173913,0.086956522,46,35,0.086956522,0.244897959,3.549245785,0.976042591,-1.952085182,1100,15.79414374,60.69
37,37,37,19.18,0,0.307692308,0.692307692,0,0.076923077,0.230769231,0.615384615,0.076923077,40,42,0,0.153846154,-7.692307692,7.692307692,7.692307692,-200,15.38461538,67.93
38,38,38,19.19,0.162162162,0.22972973,0.445945946,0.162162162,0.157894737,0.052631579,0.789473684,0,46,40,0.105263158,0.27027027,0.426742532,17.70981508,-34.35277383,600,16.50071124,74.19
39,39,39,19.2,0.2,0.1,0.566666667,0.1,0.121212121,0.333333333,0.454545455,0.090909091,42,32,0.242424242,0.333333333,7.878787879,-23.33333333,11.21212121,1000,9.090909091,83.97
40,40,40,19.21,0.346153846,0.230769231,0.384615385,0.038461538,0.05,0.45,0.4,0.05,38,37.5,0.2,0.153846154,29.61538462,-21.92307692,-1.538461538,50,-4.615384615,67.86
41,41,41,19.22,0.185185185,0.185185185,0.518518519,0.111111111,0,0.2,0.733333333,0.066666667,40,27,0.466666667,0.240740741,18.51851852,-1.481481481,-21.48148148,1300,-22.59259259,81.11
42,42,42,19.23,0.12962963,0.259259259,0.555555556,0.055555556,0.071428571,0.357142857,0.571428571,0,49.5,29,0.357142857,0.296296296,5.82010582,-9.788359788,-1.587301587,2050,-6.084656085,81.07
43,43,43,20.02,0.021276596,0.010638298,0.861702128,0.106382979,0.023809524,0.011904762,0.892857143,0.071428571,175,117.5,0,0.010638298,-0.253292806,-0.126646403,-3.11550152,5750,1.063829787,17.21
44,44,44,20.03,0.019607843,0.078431373,0.754901961,0.12745098,0.033707865,0.02247191,0.853932584,0.08988764,108.5,88,0.011235955,0.029411765,-1.410002203,5.595946244,-9.903062349,2050,1.817580965,17.98
45,45,45,20.04,0.022727273,0.022727273,0.840909091,0.090909091,0,0.019230769,0.961538462,0.019230769,145,97.5,0.038461538,0.045454545,2.272727273,0.34965035,-12.06293706,4750,0.699300699,36.44
46,46,46,21,0.027027027,0.054054054,0.783783784,0.135135135,0.08,0,0.76,0.16,93,77,0,0.081081081,-5.297297297,5.405405405,2.378378378,1600,8.108108108,43.5
47,47,47,22,0.009345794,0.009345794,0.831775701,0.14953271,0.010309278,0.020618557,0.948453608,0.020618557,204,160,0.010309278,0.009345794,-0.096348396,-1.127276231,-11.66779073,4400,-0.096348396,10.7
48,48,48,23,0,0.733333333,0.2,0.066666667,0,0.285714286,0.714285714,0,49,33,0.142857143,0,0,44.76190476,-51.42857143,1600,-14.28571429,93.7
49,49,49,24,0.053333333,0.026666667,0.786666667,0.133333333,0.04,0.02,0.86,0.06,110,79.5,0,0.053333333,1.333333333,0.666666667,-7.333333333,3050,5.333333333,14.95
50,50,50,25,0.133333333,0.066666667,0.533333333,0.266666667,0,0.034482759,0.896551724,0.068965517,177,119,0.034482759,0,13.33333333,3.218390805,-36.32183908,5800,-3.448275862,19.43
51,51,51,26,0,0.026315789,0.815789474,0.157894737,0,0.083333333,0.75,0.166666667,154,110,0.041666667,0.026315789,0,-5.701754386,6.578947368,4400,-1.535087719,44.08
52,52,52,27.01,0.024390244,0,0.756097561,0.219512195,0.048780488,0,0.804878049,0.146341463,206,250,0,0.024390244,-2.43902439,0,-4.87804878,-4400,2.43902439,6.75
53,53,53,27.02,0,0.00952381,0.828571429,0.161904762,0,0.016393443,0.87704918,0.106557377,267,185.5,0,0.019047619,0,-0.68696331,-4.847775176,8150,1.904761905,8.07
54,54,54,28,0,0,0.804878049,0.195121951,0.028571429,0,0.914285714,0.057142857,284.5,205,0.014285714,0.024390244,-2.857142857,0,-10.94076655,7950,1.010452962,5.67
55,55,55,29.03,0.013888889,0.111111111,0.736111111,0.138888889,0.020833333,0.041666667,0.8125,0.125,195.5,206,0,0.027777778,-0.694444444,6.944444444,-7.638888889,-1050,2.777777778,10.43
56,56,56,29.04,0.02739726,0.02739726,0.821917808,0.123287671,0.036585366,0.024390244,0.890243902,0.036585366,178,124,0,0.04109589,-0.918810558,0.300701637,-6.832609422,5400,4.109589041,22.21
57,57,57,29.05,0.068181818,0.022727273,0.795454545,0.113636364,0.040816327,0.020408163,0.816326531,0.12244898,335,258,0.020408163,0.045454545,2.736549165,0.231910946,-2.087198516,7700,2.504638219,7.83
58,58,58,29.06,0.030927835,0.06185567,0.783505155,0.12371134,0.015384615,0.015384615,0.876923077,0.092307692,150,116,0.030769231,0.020618557,1.554321967,4.647105472,-9.341792228,3400,-1.015067407,12.67
59,59,59,30.06,0.027777778,0,0.833333333,0.138888889,0,0,0.909090909,0.090909091,103.5,126,0.018181818,0.041666667,2.777777778,0,-7.575757576,-2250,2.348484848,10.63
60,60,60,30.07,0.009009009,0.027027027,0.81981982,0.144144144,0.016666667,0.025,0.858333333,0.1,220,156.5,0.016666667,0.027027027,-0.765765766,0.202702703,-3.851351351,6350,1.036036036,19.58
61,61,61,30.08,0.055555556,0.027777778,0.805555556,0.111111111,0.029850746,0.044776119,0.835820896,0.074626866,111,90,0.044776119,0.041666667,2.570480929,-1.699834163,-3.026533997,2100,-0.310945274,29.53
62,62,62,30.11,0.02919708,0.01459854,0.839416058,0.109489051,0.020833333,0.010416667,0.90625,0.0625,155,125,0.010416667,0,0.836374696,0.418187348,-6.683394161,3000,-1.041666667,11.84
63,63,63,30.12,0,0,0.893617021,0.106382979,0,0,0.87037037,0.111111111,130,135.5,0.018518519,0.021276596,0,0,2.324665091,-550,0.275807723,25.52
64,64,64,30.13,0.086538462,0.009615385,0.778846154,0.105769231,0.053763441,0.010752688,0.838709677,0.096774194,160,127,0.010752688,0.019230769,3.277502068,-0.113730356,-5.986352357,3300,0.847808106,17.3
65,65,65,30.15,0.025641026,0.025641026,0.794871795,0.153846154,0.014285714,0.042857143,0.928571429,0.014285714,110,90,0.042857143,0.038461538,1.135531136,-1.721611722,-13.36996337,2000,-0.43956044,17.08
66,66,66,30.16,0.134615385,0,0.865384615,0,0.072727273,0,0.890909091,0.036363636,142.5,136,0.018181818,0.019230769,6.188811189,0,-2.552447552,650,0.104895105,24.4
67,67,67,30.17,0,0.016949153,0.881355932,0.101694915,0.030769231,0.046153846,0.646153846,0.276923077,132,114,0.030769231,0.016949153,-3.076923077,-2.920469361,23.5202086,1800,-1.382007823,17.94
68,68,68,30.18,0.068181818,0.090909091,0.75,0.090909091,0.0625,0,0.9375,0,132.5,118.5,0,0,0.568181818,9.090909091,-18.75,1400,0,22.83
69,69,69,31.02,0.06185567,0.010309278,0.793814433,0.134020619,0.014925373,0.059701493,0.820895522,0.104477612,95,69,0.074626866,0.041237113,4.693029697,-4.939221419,-2.70810894,2600,-3.338975227,44.29
70,70,70,31.03,0.014925373,0.02238806,0.873134328,0.089552239,0.060344828,0,0.862068966,0.077586207,90.5,65.5,0.034482759,0.007462687,-4.541945445,2.23880597,1.106536284,2500,-2.702007205,27.5
71,71,71,31.05,0.054945055,0.065934066,0.736263736,0.142857143,0.080645161,0.016129032,0.838709677,0.064516129,96,81.5,0.016129032,0.032967033,-2.570010635,4.980503368,-10.24459412,1450,1.683800071,8.95
72,72,72,31.06,0.12,0.024,0.744,0.112,0.06504065,0.06504065,0.764227642,0.097560976,91,79,0.06504065,0.016,5.495934959,-4.104065041,-2.022764228,1200,-4.904065041,57.11
73,73,73,31.08,0,0.03030303,0.878787879,0.090909091,0,0.047619048,0.857142857,0.047619048,67,53,0.047619048,0.090909091,0,-1.731601732,2.164502165,1400,4.329004329,65.39
74,74,74,32.01,0.034482759,0,0.827586207,0.137931034,0.037037037,0,0.925925926,0.037037037,90,56,0,0,-0.255427842,0,-9.833971903,3400,0,56.37
75,75,75,32.03,0.035714286,0.035714286,0.857142857,0.071428571,0.033333333,0,0.766666667,0.2,114.5,76,0.066666667,0,0.238095238,3.571428571,9.047619048,3850,-6.666666667,48.25
76,76,76,32.04,0.011904762,0,0.797619048,0.19047619,0.082191781,0,0.835616438,0.082191781,119.5,90,0.054794521,0.035714286,-7.028701892,0,-3.799739074,2950,-1.908023483,21.71
77,77,77,33,0.064814815,0.018518519,0.796296296,0.12037037,0.035714286,0,0.910714286,0.053571429,167,80,0,0.018518519,2.91005291,1.851851852,-11.44179894,8700,1.851851852,28.91
78,78,78,34,0.041666667,0.011904762,0.767857143,0.178571429,0.033557047,0,0.872483221,0.093959732,161.5,128,0.026845638,0.017857143,0.810961969,1.19047619,-10.46260786,3350,-0.898849473,3.95
79,79,79,35,0,0.015625,0.828125,0.15625,0.054054054,0,0.918918919,0.027027027,165.5,161,0.054054054,0.03125,-5.405405405,1.5625,-9.079391892,450,-2.280405405,10.79
80,80,80,36,0.017857143,0,0.875,0.107142857,0.05,0,0.85,0.1,92.5,94,0,0.017857143,-3.214285714,0,2.5,-150,1.785714286,80.15
81,81,81,37,0,0.05,0.8,0.15,1,0,0,0,95.5,55,0,0.05,-100,5,80,4050,5,73.08
82,82,82,38.02,0.03125,0.21875,0.5625,0.1875,0,0.5,0.5,0,98,39,0,0.09375,3.125,-28.125,6.25,5900,9.375,95.43
83,83,83,38.05,0.206185567,0.134020619,0.639175258,0.020618557,0.2,0.4,0.4,0,90,39,0.2,0.041237113,0.618556701,-26.59793814,23.91752577,5100,-15.87628866,73.98
84,84,84,38.06,0.032786885,0.114754098,0.754098361,0.081967213,0.052631579,0.157894737,0.789473684,0,57,44,0.526315789,0.245901639,-1.98446937,-4.314063848,-3.537532355,1300,-28.04141501,81.3
85,85,85,38.07,0,0.333333333,0.388888889,0.277777778,0,0.333333333,0.666666667,0,54,34,0.444444444,0.222222222,0,0,-27.77777778,2000,-22.22222222,94.12
86,86,86,38.08,0,0,1,0,0.214285714,0.357142857,0.357142857,0.071428571,38.5,34.5,0.071428571,0,-21.42857143,-35.71428571,64.28571429,400,-7.142857143,95.93
87,87,87,39.02,0,0.4,0.55,0.05,NA,NA,NA,NA,36.5,NA,NA,0.35,NA,NA,NA,NA,NA,99.1
88,88,88,39.03,0,0.285714286,0.714285714,0,NA,NA,NA,NA,88,NA,NA,0.285714286,NA,NA,NA,NA,NA,94.98
89,89,89,40,0.05,0.25,0.45,0.25,0,1,0,0,61,27,0,0.2,5,-75,45,3400,20,77.31
90,90,90,41,0.02,0.06,0.77,0.15,0,0.090909091,0.681818182,0.227272727,115.5,70,0,0.01,2,-3.090909091,8.818181818,4550,1,63.04
91,91,91,42,0,0.5,0.363636364,0.136363636,0,0,1,0,57.5,20,0,0.045454545,0,50,-63.63636364,3750,4.545454545,88.35
92,92,92,43.02,0.073170732,0.195121951,0.609756098,0.12195122,0,0.333333333,0.5,0.166666667,47,42,0,0.268292683,7.317073171,-13.82113821,10.97560976,500,26.82926829,80.13
93,93,93,43.03,0.033333333,0.466666667,0.366666667,0.133333333,0.1,0.3,0.4,0.2,46.5,35.5,0.1,0.3,-6.666666667,16.66666667,-3.333333333,1100,20,73.17
94,94,94,43.04,0.088235294,0.382352941,0.411764706,0.117647059,0,0.625,0.3125,0.0625,42.5,34.5,0.3125,0.352941176,8.823529412,-24.26470588,9.926470588,800,4.044117647,79.15
95,95,95,43.05,0,0.321428571,0.5,0.178571429,0,0.545454545,0.454545455,0,48,27,0.363636364,0.392857143,0,-22.4025974,4.545454545,2100,2.922077922,91.41
96,96,96,44,0.071428571,0.571428571,0.232142857,0.125,0.117647059,0.470588235,0.352941176,0.058823529,43.5,35,0.117647059,0.142857143,-4.621848739,10.08403361,-12.07983193,850,2.521008403,90.59
97,97,97,45,0,0.28,0.64,0.08,0,0.090909091,0.636363636,0.272727273,99,75,0,0,0,18.90909091,0.363636364,2400,0,93.07
98,98,98,46,0,0.384615385,0.538461538,0.076923077,NA,NA,NA,NA,59,NA,NA,0.384615385,NA,NA,NA,NA,NA,96.33
99,99,99,47,0,0,0.8,0.2,0,0.5,0.5,0,110,134,0,0,0,-50,30,-2400,0,79.61
100,100,100,48,0,0.4375,0.375,0.1875,0,1,0,0,77.5,53,0,0.125,0,-56.25,37.5,2450,12.5,98.81
101,101,101,49,0,0.333333333,0.666666667,0,0,0,1,0,80,38,0,0,0,33.33333333,-33.33333333,4200,0,94.27
102,102,102,50,0,0.12,0.76,0.12,0.033333333,0.133333333,0.766666667,0.066666667,103,85.5,0,0.04,-3.333333333,-1.333333333,-0.666666667,1750,4,94.86
103,103,103,51,0,0.476190476,0.428571429,0.095238095,0,0,1,0,37,26,0,0.047619048,0,47.61904762,-57.14285714,1100,4.761904762,95.12
104,104,104,52,0,0.333333333,0.555555556,0.111111111,0,0.2,0.8,0,88,56,0,0.222222222,0,13.33333333,-24.44444444,3200,22.22222222,89.58
105,105,105,53.01,0,0.294117647,0.588235294,0.117647059,0,0.272727273,0.636363636,0,43,47,0.181818182,0.117647059,0,2.139037433,-4.812834225,-400,-6.417112299,90.71
106,106,106,53.05,0.043478261,0.217391304,0.52173913,0.217391304,0,0.5,0.5,0,49,20.5,0.5,0.304347826,4.347826087,-28.26086957,2.173913043,2850,-19.56521739,94.2
107,107,107,53.06,0,0.454545455,0.363636364,0.181818182,NA,NA,NA,NA,59,NA,NA,0.090909091,NA,NA,NA,NA,NA,93.92
108,108,108,53.07,0,0.357142857,0.357142857,0.285714286,0,0.666666667,0.333333333,0,40.5,32,0,0.428571429,0,-30.95238095,2.380952381,850,42.85714286,96.15
109,109,109,53.08,0.142857143,0.428571429,0.142857143,0.285714286,NA,NA,NA,NA,38,NA,NA,0,NA,NA,NA,NA,NA,95.07
110,110,110,54.01,0.019417476,0.59223301,0.252427184,0.13592233,0.033333333,0.666666667,0.266666667,0.033333333,44,35,0.1,0.145631068,-1.391585761,-7.443365696,-1.42394822,900,4.563106796,95.32
111,111,111,54.03,0.052631579,0.289473684,0.552631579,0.078947368,0,0.352941176,0.647058824,0,54,34,0.294117647,0.184210526,5.263157895,-6.346749226,-9.442724458,2000,-10.99071207,87.45
112,112,112,54.04,0,0.555555556,0.305555556,0.111111111,0,0.5,0.25,0.25,48.5,35.5,0.125,0.222222222,0,5.555555556,5.555555556,1300,9.722222222,84.04
113,113,113,55.08,0.042253521,0.267605634,0.521126761,0.169014085,0.035714286,0.267857143,0.607142857,0.071428571,79,65.5,0.053571429,0.056338028,0.653923541,-0.025150905,-8.601609658,1350,0.27665996,37.94
114,114,114,55.09,0.072289157,0.429718876,0.413654618,0.084337349,0.044444444,0.322222222,0.544444444,0.077777778,72,58,0.066666667,0.084337349,2.784471218,10.74966533,-13.0789826,1400,1.767068273,57.03
115,115,115,55.1,0.047244094,0.677165354,0.188976378,0.070866142,0,0.632653061,0.367346939,0,46,38,0.224489796,0.125984252,4.724409449,4.451229311,-17.83705608,800,-9.850554395,84.7
116,116,116,55.11,0.032258065,0.596774194,0.258064516,0.096774194,0.038461538,0.384615385,0.423076923,0.153846154,53,52.5,0,0.096774194,-0.620347395,21.21588089,-16.50124069,50,9.677419355,71.27
117,117,117,55.12,0.051948052,0.467532468,0.350649351,0.12987013,0.03030303,0.333333333,0.515151515,0.121212121,57,42,0.060606061,0.168831169,2.164502165,13.41991342,-16.45021645,1500,10.82251082,81.4
118,118,118,55.13,0.016393443,0.262295082,0.606557377,0.114754098,0.031746032,0.253968254,0.634920635,0.079365079,74,71,0.015873016,0.180327869,-1.535258912,0.8326828,-2.836325787,300,16.4454853,55.98
119,119,119,55.14,0.023529412,0.376470588,0.458823529,0.141176471,0.068965517,0.327586207,0.534482759,0.068965517,73,69.5,0.034482759,0.035294118,-4.543610548,4.888438134,-7.565922921,350,0.081135903,52.05
120,120,120,55.15,0.073529412,0.205882353,0.602941176,0.102941176,0.117647059,0.147058824,0.705882353,0.029411765,64.5,59.5,0.029411765,0.088235294,-4.411764706,5.882352941,-10.29411765,500,5.882352941,32.99
121,121,121,55.16,0.095238095,0.19047619,0.619047619,0.095238095,0,0.0625,0.8125,0.125,92.5,60,0,0.095238095,9.523809524,12.79761905,-19.3452381,3250,9.523809524,27.86
122,122,122,55.17,0.03030303,0.303030303,0.555555556,0.101010101,0.026315789,0.184210526,0.684210526,0.105263158,83,65.5,0.026315789,0.090909091,0.398724083,11.88197767,-12.86549708,1750,6.459330144,40.75
123,123,123,55.18,0.12244898,0.367346939,0.346938776,0.163265306,0.01754386,0.421052632,0.526315789,0.035087719,70,51,0.122807018,0.020408163,10.49051199,-5.37056928,-17.9377014,1900,-10.23988543,58.04
